cohort,cohort size,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7
2021-10-18 00:00:00+00:00,3756,3756,1738,2032,1991,1417,1641,1095,964
2021-10-25 00:00:00+00:00,4218,4218,2405,2304,1595,1834,1133,1048,811
2021-11-01 00:00:00+00:00,5592,5592,3227,2169,2439,1581,1313,1050,1019
2021-11-08 00:00:00+00:00,6370,6370,2443,2742,1706,1493,1114,1072,1184
2021-11-15 00:00:00+00:00,3953,3953,2000,1333,1197,895,829,925,993
2021-11-22 00:00:00+00:00,5073,5073,1724,1434,1082,1011,1092,1175,1083
2021-11-29 00:00:00+00:00,3183,3183,1106,815,755,826,860,809,1033
2021-12-06 00:00:00+00:00,2781,2781,884,789,778,840,726,982,830
2021-12-13 00:00:00+00:00,2073,2073,706,740,705,647,766,652,677
2021-12-20 00:00:00+00:00,1965,1965,771,752,643,764,607,657,770
2021-12-27 00:00:00+00:00,2246,2246,929,769,915,731,723,858,916
2022-01-03 00:00:00+00:00,2574,2574,948,1062,829,838,957,1064,1134
2022-01-10 00:00:00+00:00,2355,2355,1098,886,865,942,971,1030,754
2022-01-17 00:00:00+00:00,3448,3448,1314,1247,1470,1486,1577,1131,1024
2022-01-24 00:00:00+00:00,2760,2760,1141,1231,1296,1320,899,877,1049
2022-01-31 00:00:00+00:00,2883,2883,1432,1381,1443,1016,894,1039,924
2022-02-07 00:00:00+00:00,3769,3769,1928,1931,1339,1206,1423,1209,1415
2022-02-14 00:00:00+00:00,4429,4429,2419,1619,1429,1710,1423,1680,2124
2022-02-21 00:00:00+00:00,5134,5134,1900,1685,2010,1599,1863,2383,2642
2022-02-28 00:00:00+00:00,3288,3288,1345,1500,1269,1391,1653,1794,1403
2022-03-07 00:00:00+00:00,3050,3050,1482,1197,1307,1625,1699,1308,912
2022-03-14 00:00:00+00:00,3846,3846,1596,1708,2106,2275,1612,1123,0
2022-03-21 00:00:00+00:00,3471,3471,1609,1869,1930,1472,1024,0,559
2022-03-28 00:00:00+00:00,4317,4317,2321,2426,1739,1177,0,609,1332
2022-04-04 00:00:00+00:00,5587,5587,3304,2360,1639,0,797,1737,1805
2022-04-11 00:00:00+00:00,6385,6385,2683,1791,0,868,1834,1942,1194
2022-04-18 00:00:00+00:00,4279,4279,1500,0,733,1484,1481,913,0
2022-04-25 00:00:00+00:00,2942,2942,0,575,1135,1150,694,0,0
2022-05-02 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-05-09 00:00:00+00:00,1427,1427,739,696,394,0,0,0,0
2022-05-16 00:00:00+00:00,3463,3463,1470,856,0,0,0,0,0
2022-05-23 00:00:00+00:00,3586,3586,1034,0,0,0,0,0,0
2022-05-30 00:00:00+00:00,2195,2195,0,0,0,0,0,0,0
2022-06-06 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-06-13 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-06-20 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-06-27 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-07-04 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-07-11 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-07-18 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-07-25 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-08-01 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-08-08 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-08-15 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-08-22 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-08-29 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2022-09-05 00:00:00+00:00,4021,4021,2187,2096,2491,1751,1734,1752,1372
2022-09-12 00:00:00+00:00,4747,4747,2519,2948,2094,2087,2091,1594,1994
2022-09-19 00:00:00+00:00,4950,4950,3257,2232,2204,2170,1646,2091,2384
2022-09-26 00:00:00+00:00,6604,6604,2938,2832,2812,2129,2640,3148,2655
2022-10-03 00:00:00+00:00,4794,4794,2380,2282,1777,2089,2365,1958,2052
2022-10-10 00:00:00+00:00,4863,4863,2430,1881,2221,2497,2126,2189,2303
2022-10-17 00:00:00+00:00,5344,5344,2096,2278,2592,2238,2264,2389,2051
2022-10-24 00:00:00+00:00,3991,3991,2006,2168,1880,1908,1946,1747,1308
2022-10-31 00:00:00+00:00,5015,5015,2750,2388,2438,2507,2266,1694,1420
2022-11-07 00:00:00+00:00,5955,5955,2917,2908,3010,2634,1941,1627,1744
2022-11-14 00:00:00+00:00,5008,5008,2732,2720,2408,1820,1560,1638,1665
2022-11-21 00:00:00+00:00,5342,5342,3048,2656,1926,1655,1713,1776,2161
2022-11-28 00:00:00+00:00,6011,6011,2918,2108,1786,1895,1874,2354,2452
2022-12-05 00:00:00+00:00,5160,5160,2087,1787,1806,1834,2214,2269,1889
2022-12-12 00:00:00+00:00,3714,3714,1527,1484,1527,1798,1802,1500,1715
2022-12-19 00:00:00+00:00,3100,3100,1467,1403,1615,1598,1310,1516,1533
2022-12-26 00:00:00+00:00,3346,3346,1596,1753,1769,1478,1632,1606,1618
2023-01-02 00:00:00+00:00,3696,3696,1956,1911,1596,1838,1766,1759,1923
2023-01-09 00:00:00+00:00,4931,4931,2575,2033,2365,2293,2296,2452,2120
2023-01-16 00:00:00+00:00,5510,5510,2257,2536,2504,2514,2711,2259,2034
2023-01-23 00:00:00+00:00,4257,4257,2325,2236,2148,2258,1916,1751,1811
2023-01-30 00:00:00+00:00,5272,5272,2813,2695,2836,2378,2145,2186,2045
2023-02-06 00:00:00+00:00,5539,5539,2969,3058,2559,2268,2312,2129,1887
2023-02-13 00:00:00+00:00,6216,6216,3971,3107,2629,2760,2441,2064,2393
2023-02-20 00:00:00+00:00,7570,7570,3823,3169,3349,2875,2402,2872,2536
2023-02-27 00:00:00+00:00,5833,5833,2847,2825,2467,2181,2421,2173,2344
2023-03-06 00:00:00+00:00,5256,5256,2760,2384,2091,2253,2013,2129,2226
2023-03-13 00:00:00+00:00,5582,5582,2555,2184,2402,2116,2247,2276,1932
2023-03-20 00:00:00+00:00,4946,4946,2239,2375,2079,2258,2208,1811,1922
2023-03-27 00:00:00+00:00,4400,4400,2250,1954,2043,2015,1699,1791,1878
2023-04-03 00:00:00+00:00,5229,5229,2403,2454,2457,2029,2057,2144,2060
2023-04-10 00:00:00+00:00,4757,4757,2376,2301,1886,1945,2014,1927,2172
2023-04-17 00:00:00+00:00,5062,5062,2596,2131,2177,2263,2161,2456,2215
