"Nazwa kampanii","Nazwa zestawu reklam",Cel,"Status wyświetlania","Poziom wyświetlania",Zasięg,Wyświetlenia,Częstotliwość,"Ustawienie atrybucji","Typ wyniku",Wyniki,"Wydana kwota (PLN)","Koszt wyniku",Rozpoczęcie,Zakończenie,"Początek okresu raportowania","Koniec okresu raportowania"
"[KL] Treści klienckie [wyświetlenie strony docelowej]","Diagnozuj i lecz | Diagnozuj i lecz: Zespół krupu u 3-letniego chłopca [175-2025 Aurovitas BDS N]",LINK_CLICKS,completed,adset,17743,45177,2.54618723,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",357,499.78,1.39994398,2025-11-25,2025-12-14,2025-01-01,2026-03-17
"[KL] Nagrania klienckie [odtworzenie nagrania na Remedium]","FB/IG - Nowy standard leczenia ZUM | 14.07 | [47-2025-Qpharma-urologia]",OUTCOME_SALES,completed,adset,18190,51669,2.84051677,"Kliknięcia z 7 dni",Video_Play,245,499.78,2.03991837,2025-06-04,2025-06-14,2025-01-01,2026-03-17
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]","5 minut o leku Tyzanidyna | 08.06 | [195-2024 Sandoz Sirdalud]",OUTCOME_SALES,completed,adset,39638,79427,2.00380948,"Kliknięcia z 7 dni",Video_Play,205,499.74,2.4377561,2025-05-15,2025-06-06,2025-01-01,2026-03-17
"[KL] Treści klienckie [wyświetlenie strony docelowej]","Diagnozuj i lecz | Ból kończyn dolnych |30.06 |  [236-2024-Alfasigma-VesselDue]",LINK_CLICKS,completed,adset,42667,94363,2.21161553,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",1517,499.74,0.3294265,2025-06-10,2025-06-30,2025-01-01,2026-03-17
"Kursy Remedium [dodanie do koszyka/zakup]","Kurs | Praktyczne zagadnienia antykoncepcji hormonalnej | stażyści, lekarze rodzinni, POZ, ginekologia",OUTCOME_SALES,completed,adset,12542,36793,2.93358316,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","AddToCart - Konwersja",11,499.74,45.43090909,2025-10-20,2025-11-21,2025-01-01,2026-03-17
"[KL] Treści klienckie [wyświetlenie strony docelowej]","Diagnozuj i lecz | Pokrzywka u dziecka | 30.06| 41-2025 MagnaPharm",LINK_CLICKS,completed,adset,21132,48960,2.31686542,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",232,499.68,2.1537931,2025-06-17,2025-06-30,2025-01-01,2026-03-17
"[KL] Treści klienckie [wyświetlenie strony docelowej]","FB - Poradnik | POChP | 04.2025 r. | [165-2024 BerlinChemie Anoro-Trelegy]",LINK_CLICKS,completed,adset,25903,86130,3.32509748,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",506,499.58,0.98731225,2025-03-14,2025-04-16,2025-01-01,2026-03-17
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]","5 minut o leku Sulodeksyd | 30 maja | [236-2024-Alfasigma-VesselDue]",OUTCOME_SALES,completed,adset,20151,56624,2.80998462,"Kliknięcia z 7 dni",Video_Play,235,499.46,2.1253617,2025-04-30,2025-05-30,2025-01-01,2026-03-17
"[KL] Treści klienckie [wyświetlenie strony docelowej]","Artykuł | KSeF w medycynie | [260-2025-InFakt]",LINK_CLICKS,completed,adset,23321,79524,3.40997384,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",874,499.43,0.57143021,2026-01-28,2026-02-28,2025-01-01,2026-03-17
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]","VOD Target Lekarze | Profilaktyka zakażeń RSV | [159-2025 Pfizer]",OUTCOME_SALES,completed,adset,8555,36480,4.264173,"Kliknięcia z 7 dni",Video_Play,137,498.98,3.64218978,2026-02-09,2026-02-28,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - dermatologia - Playlista",OUTCOME_SALES,active,adset,7902,23160,2.93090357,"Kliknięcia z 7 dni",Video_Play,324,497.41,1.53521605,2026-01-09,2026-03-31,2025-01-01,2026-03-17
"[KL] Webinary klienckie [dołączenie do wydarzenia Facebook]","Cardiochallenge | 08.03.2025 r.",OUTCOME_ENGAGEMENT,completed,adset,28369,62031,2.1865769,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Reakcje na zaproszenia na wydarzenia",238,497.06,2.08848739,2025-02-28,2025-03-08,2025-01-01,2026-03-17
"Webinary własne [zapis na wydarzenie]","Debata o wynagrodzeniach w ochronie zdrowia",OUTCOME_LEADS,completed,adset,14416,27073,1.8779828,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Spotkania zaplanowane w witrynie",22,496.58,22.57181818,2025-10-29,2025-10-30,2025-01-01,2026-03-17
"Treści własne [wyświetlenie strony docelowej]","Medmama | czerwiec 2025",LINK_CLICKS,completed,adset,11446,28076,2.45290931,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",179,493.24,2.75553073,2025-06-10,2025-06-12,2025-01-01,2026-03-17
"[KL] Treści klienckie [wyświetlenie strony docelowej]","Diagnozuj i lecz | Zapalenie oskrzeli | 18.05 | [1-2025-PierreFabre-pediatria]",LINK_CLICKS,completed,adset,27702,69797,2.51956537,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",701,490.02,0.69902996,2025-04-15,2025-05-18,2025-01-01,2026-03-17
"[KL] Kursy sponsorowane [odtworzenie nagrania]","hiperurykemia | [129-2025 Egis - Kurs hiperurykemii] odc 4",OUTCOME_SALES,active,adset,5931,24122,4.06710504,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",Video_Play,211,489.77,2.32118483,2026-03-05,2026-03-31,2025-01-01,2026-03-17
