"Nazwa kampanii","Nazwa zestawu reklam",Cel,"Status wyświetlania","Poziom wyświetlania",Zasięg,Wyświetlenia,Częstotliwość,"Ustawienie atrybucji","Typ wyniku",Wyniki,"Wydana kwota (PLN)","Koszt wyniku",Rozpoczęcie,Zakończenie,"Początek okresu raportowania","Koniec okresu raportowania"
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ -gastroenterologia - Zaparcie czynnościowe u dzieci",OUTCOME_SALES,completed,adset,6158,23285,3.78126015,"Kliknięcia z 7 dni",Video_Play,273,349.89,1.28164835,2025-12-03,2026-02-28,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ -gastroenterologia - Choroba Wilsona",OUTCOME_SALES,completed,adset,11367,30810,2.7104777,"Kliknięcia z 7 dni",Video_Play,250,349.86,1.39944,2025-12-03,2026-02-28,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - kardiologia Leki przeciwzakrzepowe i przeciwdławicowe w chorobie wieńcowej? Co? Gdzie? Kiedy i jak?D) dla lekarza POZ – kopia",OUTCOME_SALES,active,adset,6399,18244,2.85107048,"Kliknięcia z 7 dni",Video_Play,127,347.65,2.73740157,2026-01-02,2026-03-22,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - kardiologia Leczenie hipolipemizujące u pacjenta po zawale serca lub po planowej implantacji stentu",OUTCOME_SALES,active,adset,6618,22474,3.39589,"Kliknięcia z 7 dni",Video_Play,253,345.58,1.36592885,2026-01-02,2026-03-22,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - kardiologia Niewydolność serca – kiedy skierować do szpitala, a kiedy ambulatoryjnie do kardiologa?",OUTCOME_SALES,active,adset,6881,21477,3.12120331,"Kliknięcia z 7 dni",Video_Play,138,345.2,2.50144928,2026-01-01,2026-03-22,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - kardiologia Jak pomóc pacjentowi z migotaniem przedsionków? Kiedy kierować do kardiologa?",OUTCOME_SALES,active,adset,9041,28784,3.18371862,"Kliknięcia z 7 dni",Video_Play,198,344.9,1.74191919,2025-12-30,2026-03-22,2025-01-01,2026-03-17
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]","VOD | Bezpieczne leczenie nieżytu nosa od 1. dnia życia [250-2025 Glenmark]",OUTCOME_SALES,active,adset,7234,20751,2.86853746,"Kliknięcia z 7 dni",Video_Play,112,344.02,3.07160714,2026-03-05,2026-03-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - kardiologia Jak leczyć przeciwzakrzepowo chorego po plastyce tętnicy - planowej lub po zawale?ia",OUTCOME_SALES,active,adset,6897,23525,3.41090329,"Kliknięcia z 7 dni",Video_Play,79,343.97,4.35405063,2026-01-02,2026-03-22,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - kardiologia Leczenie zaburzeń rytmu – liczne dodatkowe zaburzenia komorowe",OUTCOME_SALES,active,adset,7806,27364,3.50550858,"Kliknięcia z 7 dni",Video_Play,260,343.84,1.32246154,2026-01-02,2026-03-22,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - kardiologia Kompendium wiedzy o urządzeniach wszczepianych (stymulator/ICD) dla lekarza POZ",OUTCOME_SALES,active,adset,7690,27031,3.51508453,"Kliknięcia z 7 dni",Video_Play,281,343.52,1.2224911,2026-01-01,2026-03-22,2025-01-01,2026-03-17
"Kursy Remedium [dodanie do koszyka/zakup]","Promocja z okazji 100 K użytkowników | Luty 2025",OUTCOME_SALES,inactive,adset,9272,28363,3.05899482,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","AddToCart - Konwersja",6,341.75,56.95833333,2025-02-18,2025-02-24,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - kardiologia Nie takie EKG straszne, jak je rysują – co zrobić, gdy linie nie są proste? O arytmiach i zmianach ST-Ti",OUTCOME_SALES,active,adset,11609,42795,3.68636403,"Kliknięcia z 7 dni",Video_Play,718,340.59,0.47435933,2025-12-31,2026-03-22,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - kardiologia Leczenie przeciwkrzepliwe i przeciwpłytkowe przed i po operacjach/zabiegach",OUTCOME_SALES,active,adset,11284,50182,4.44718185,"Kliknięcia z 7 dni",Video_Play,450,335.44,0.74542222,2026-01-02,2026-03-22,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - dermatologia - Najczęstsze zmiany skórne wieku podeszłego",OUTCOME_SALES,active,adset,6091,16521,2.7123625,"Kliknięcia z 7 dni",Video_Play,114,324.89,2.84991228,2026-01-09,2026-03-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - dermatologia - Astma niekontrolowana u dziecka: jak intensyfikować leczenie i kiedy do specjalisty?",OUTCOME_SALES,active,adset,5273,16984,3.22093685,"Kliknięcia z 7 dni",Video_Play,98,322.42,3.29,2026-01-09,2026-03-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - dermatologia - Grzybice skóry i paznokci - wciąż aktualny problem",OUTCOME_SALES,active,adset,5406,15616,2.88864225,"Kliknięcia z 7 dni",Video_Play,154,322.41,2.09357143,2026-01-09,2026-03-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - dermatologia - Kiedy w POChP zlecać wziewne glikokortykosteroidy?",OUTCOME_SALES,active,adset,7266,21777,2.99710983,"Kliknięcia z 7 dni",Video_Play,194,320.52,1.65216495,2026-01-09,2026-03-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - dermatologia - Jak nie diagnozować i nie leczyć alergii pokarmowej u dzieci?",OUTCOME_SALES,active,adset,5606,19398,3.46022119,"Kliknięcia z 7 dni",Video_Play,180,319.69,1.77605556,2026-01-09,2026-03-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - dermatologia - Najczęstsze zakażenia skóry i tkanki podskórnej",OUTCOME_SALES,active,adset,7170,20195,2.81659693,"Kliknięcia z 7 dni",Video_Play,135,317.68,2.35318519,2026-01-09,2026-03-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - dermatologia - Zapalenie zatok przynosowych - diagnostyka i leczenie w pigułce",OUTCOME_SALES,active,adset,7570,23944,3.16301189,"Kliknięcia z 7 dni",Video_Play,328,315.2,0.96097561,2026-01-09,2026-03-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - dermatologia - Stany nagłe w dermatologii",OUTCOME_SALES,active,adset,7591,23531,3.09985509,"Kliknięcia z 7 dni",Video_Play,167,313.69,1.87838323,2026-01-09,2026-03-31,2025-01-01,2026-03-17
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]","VOD | 5 minut o leku - Escitalopram [229-2025 Egis]",OUTCOME_SALES,active,adset,9069,22741,2.5075532,"Kliknięcia z 7 dni",Video_Play,162,300.48,1.85481481,2026-03-05,2026-03-31,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 05-12.02.2025",OUTCOME_SALES,completed,adset,29299,64773,2.21075805,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",20573,300,0.01458222,2025-02-17,2025-02-25,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - infekcje, szczepienia, antybiotykoterapia - Playlista",OUTCOME_SALES,completed,adset,6866,18744,2.72997378,"Kliknięcia z 7 dni",Video_Play,187,300,1.60427807,2025-09-25,2025-12-12,2025-01-01,2026-03-17
"[KL] Webinary klienckie [zapis na wydarzenie]","ANN | 24.04.2025 r. – rolka",OUTCOME_LEADS,completed,adset,13933,20797,1.49264336,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Spotkania zaplanowane w witrynie",24,300,12.5,2025-04-22,2025-04-24,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień  22-29.04.2025",OUTCOME_SALES,completed,adset,43230,82305,1.90388619,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",5750,300,0.05217391,2025-04-22,2025-04-29,2025-01-01,2026-03-17
"[KL] Konferencje klienckie [dołączenie do wydarzenia na Facebooku]","WDKA 25 | 13-14.03",OUTCOME_ENGAGEMENT,completed,adset,24202,53538,2.21213123,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Reakcje na zaproszenia na wydarzenia",185,300,1.62162162,2025-01-31,2025-03-13,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PK w POZ diabetologia | „Gliptyna czy flozyna? – farmakolog podpowiada | AstraZeneca |  czerwiec 2025",OUTCOME_SALES,completed,adset,7263,22669,3.12116205,"Kliknięcia z 7 dni",Video_Play,300,300,1,2025-06-02,2025-06-30,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 1-7.08.2025",OUTCOME_SALES,completed,adset,44066,89010,2.01992466,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",7005,300,0.04282655,2025-08-01,2025-08-07,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 14-21.08.2025",OUTCOME_SALES,completed,adset,18780,49636,2.64302449,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",7641,300,0.03926188,2025-08-14,2025-08-21,2025-01-01,2026-03-17
"Treści własne [wyświetlenie strony docelowej]","Ankieta | Rezydenci i młodzi ginekolodzy | 11.04.2025 |",LINK_CLICKS,completed,adset,25101,33155,1.32086371,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",58,300,5.17241379,2025-04-07,2025-04-11,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 27.01-02.02",OUTCOME_SALES,completed,adset,19457,61872,3.17993524,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",16550,300,0.01812689,2025-02-03,2025-02-11,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 24.11",OUTCOME_SALES,completed,adset,15884,43010,2.70775623,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",16365,300,0.01833181,2025-11-24,2025-12-02,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień  07-14.04.2025",OUTCOME_SALES,completed,adset,32856,54303,1.65275749,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",5268,300,0.05694761,2025-04-07,2025-04-14,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 29.08-5.09",OUTCOME_SALES,completed,adset,16573,42021,2.53550956,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",15149,300,0.01980329,2025-09-01,2025-09-05,2025-01-01,2026-03-17
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]","FB - 5 minut o leku Metyldopa | 13-31.01 | Egis",OUTCOME_SALES,completed,adset,14694,26992,1.83694025,"Kliknięcia z 7 dni",Video_Play,128,300,2.34375,2025-01-14,2025-01-31,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień  21-28.03.2025",OUTCOME_SALES,completed,adset,19393,61924,3.19311092,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",8955,300,0.03350084,2025-03-24,2025-03-30,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 23.10",OUTCOME_SALES,completed,adset,14870,47186,3.1732347,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",10483,300,0.02861776,2025-10-23,2025-10-30,2025-01-01,2026-03-17
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]","FB - Proste stłuszczenie wątroby |17.01-15.02 | PK w POZ gastroenterologia",OUTCOME_SALES,completed,adset,13252,30299,2.28637187,"Kliknięcia z 7 dni",Video_Play,175,299.99,1.71422857,2025-01-20,2025-02-15,2025-01-01,2026-03-17
"[KL] Webinary klienckie [dołączenie do wydarzenia Facebook]","Terapia grypy pod kontrolą [158-2025-Biofarm-grypa-webinar]",OUTCOME_ENGAGEMENT,completed,adset,9336,28593,3.06266067,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Reakcje na zaproszenia na wydarzenia",212,299.98,1.415,2025-11-18,2025-12-09,2025-01-01,2026-03-17
"Konferencje własne [dołaczenie do wydarzenia na Facebooku]","PKwPOZ- dermatologia",OUTCOME_ENGAGEMENT,completed,adset,6519,24290,3.7260316,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Reakcje na zaproszenia na wydarzenia",138,299.98,2.17376812,2025-11-25,2025-12-10,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 03-10.07.2025",OUTCOME_SALES,completed,adset,28199,73875,2.61977375,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",6587,299.98,0.04554122,2025-07-03,2025-07-10,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 28.02-09.03",OUTCOME_SALES,completed,adset,25620,65050,2.53903201,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",9568,299.97,0.03135138,2025-02-28,2025-03-08,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień  24-31.05.2025",OUTCOME_SALES,completed,adset,44035,72293,1.64171682,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",3296,299.97,0.09101032,2025-05-24,2025-05-31,2025-01-01,2026-03-17
"[KL] Nagrania konferencji klienckich  [odtworzenie nagrania na Remedium]","WDKA | kwiecień 2025",OUTCOME_SALES,completed,adset,8867,24556,2.76936957,"Kliknięcia z 7 dni",Video_Play,14,299.96,21.42571429,2025-05-28,2025-07-31,2025-01-01,2026-03-17
"Konferencje własne [zapis na wydarzenie]","Specjalista w praktyce: ginekologia i położnictwo | 12.06  - Stażyści",OUTCOME_LEADS,completed,adset,9006,35553,3.94770153,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Spotkania zaplanowane w witrynie",62,299.94,4.83774194,2025-05-24,2025-06-12,2025-01-01,2026-03-17
"[KL] Treści klienckie [wyświetlenie strony docelowej]","Wywiad z KOL'em | Różne oblicza trazodonu | 31.07 | [68-2025 Angelini Trittico]",LINK_CLICKS,completed,adset,14030,30661,2.18538845,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",440,299.93,0.68165909,2025-07-03,2025-07-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PK w POZ pediatria | Fakty i mity w budowaniu odporności | Sandoz | czerwiec 2025",OUTCOME_SALES,completed,adset,7610,21434,2.81655716,"Kliknięcia z 7 dni",Video_Play,123,299.91,2.43829268,2025-05-13,2025-06-08,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 8-15.08.2025",OUTCOME_SALES,completed,adset,22587,46114,2.04161686,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",6917,299.9,0.04335695,2025-08-06,2025-08-08,2025-01-01,2026-03-17
"Konferencje własne [dołaczenie do wydarzenia na Facebooku]","Specjalista w praktyce: pediatria 15.12",OUTCOME_ENGAGEMENT,completed,adset,9291,32228,3.46873318,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Reakcje na zaproszenia na wydarzenia",137,299.86,2.18875912,2025-11-26,2025-12-15,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 4.11",OUTCOME_SALES,completed,adset,17288,38494,2.22663119,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",11887,299.8,0.02522083,2025-11-04,2025-11-12,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 04.02",OUTCOME_SALES,completed,adset,16130,49252,3.05344079,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",43499,299.74,0.00689073,2026-02-04,2026-02-12,2025-01-01,2026-03-17
"[KL] Treści klienckie [wyświetlenie strony docelowej]","Poradnik | Stłuszczeniowa choroba wątroby | 15.05.2026 r. | [81-2025 BauschHealth Ursopol/Heparegen] – REM",LINK_CLICKS,completed,adset,16832,30057,1.7857058,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",764,299.74,0.39232984,2025-09-17,2025-09-30,2025-01-01,2026-03-17
"Konferencje własne [dołaczenie do wydarzenia na Facebooku]","PK w POZ diabetologia | 27.03.2025",OUTCOME_ENGAGEMENT,completed,adset,56757,99657,1.7558539,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Reakcje na zaproszenia na wydarzenia",490,299.72,0.61167347,2025-03-10,2025-03-27,2025-01-01,2026-03-17
"Konferencje własne [dołaczenie do wydarzenia na Facebooku]","PKwPOZ- kardiologia",OUTCOME_ENGAGEMENT,completed,adset,6711,22872,3.4081359,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Reakcje na zaproszenia na wydarzenia",128,299.7,2.34140625,2025-11-24,2025-12-05,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 15.10",OUTCOME_SALES,completed,adset,12123,44752,3.6914955,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",7879,299.69,0.03803655,2025-10-15,2025-10-22,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 15-22.07.2025",OUTCOME_SALES,completed,adset,38776,71750,1.85037136,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",7950,299.69,0.03769686,2025-07-15,2025-07-22,2025-01-01,2026-03-17
"[KL] Konferencje klienckie [dołączenie do wydarzenia na Facebooku]","WDKA 26",OUTCOME_ENGAGEMENT,completed,adset,6987,32128,4.5982539,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Reakcje na zaproszenia na wydarzenia",54,299.68,5.54962963,2026-02-04,2026-03-05,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 30.09",OUTCOME_SALES,completed,adset,16582,55678,3.35773731,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",8217,299.65,0.03646708,2025-09-30,2025-10-07,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 10-17.06.2025",OUTCOME_SALES,completed,adset,60530,100987,1.66837932,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",12266,299.61,0.02442606,2025-06-10,2025-06-17,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 25-02.07.2025",OUTCOME_SALES,completed,adset,34819,70942,2.03745082,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",5124,299.53,0.05845628,2025-06-25,2025-07-02,2025-01-01,2026-03-17
"Konferencje własne [dołaczenie do wydarzenia na Facebooku]","PK w POZ pediatria | 06.03.2025",OUTCOME_ENGAGEMENT,completed,adset,36678,69734,1.9012487,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Reakcje na zaproszenia na wydarzenia",444,299.52,0.67459459,2025-02-19,2025-03-06,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 08.10",OUTCOME_SALES,completed,adset,14870,49568,3.333423,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",7321,298.62,0.04078951,2025-10-08,2025-10-15,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 24.02",OUTCOME_SALES,completed,adset,16352,50425,3.08372065,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",9093,298.49,0.03282635,2026-02-27,2026-03-05,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 14.02",OUTCOME_SALES,completed,adset,22792,58983,2.58788171,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",12085,298.47,0.02469756,2026-02-18,2026-02-25,2025-01-01,2026-03-17
"Webinary własne [zapis na wydarzenie]","Terminacja ciąży",OUTCOME_LEADS,completed,adset,15707,27078,1.72394474,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Spotkania zaplanowane w witrynie",37,298.2,8.05945946,2025-06-24,2025-06-25,2025-01-01,2026-03-17
"[KL] Treści klienckie [wyświetlenie strony docelowej]","Poradnik | Alergiczny nieżyt nosa |  [12-2025 Sandoz]",LINK_CLICKS,completed,adset,19731,30246,1.53291774,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",419,297.64,0.710358,2025-09-17,2025-09-30,2025-01-01,2026-03-17
"[KL] Konferencje klienckie [dołączenie do wydarzenia na Facebooku]","PKwPOZ - Diabetologia 2026",OUTCOME_ENGAGEMENT,active,adset,12305,37375,3.03738318,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Reakcje na zaproszenia na wydarzenia",209,281.22,1.34555024,2026-03-03,2026-03-19,2025-01-01,2026-03-17
"[KL] Kursy sponsorowane [odtworzenie nagrania]","Kurs nadciśnienie tętnicze [111-2024 Servier] - odcinek 2",OUTCOME_SALES,completed,adset,7783,20185,2.59347295,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",Video_Play,98,272,2.7755102,2025-09-18,2025-09-30,2025-01-01,2026-03-17
"[KL] Kursy sponsorowane [odtworzenie nagrania]","Kurs nadciśnienie tętnicze [111-2024 Servier] - odcinek 1",OUTCOME_SALES,completed,adset,7806,20354,2.60748142,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",Video_Play,84,271.92,3.23714286,2025-09-18,2025-09-30,2025-01-01,2026-03-17
"[KL] Kursy sponsorowane [odtworzenie nagrania]","Kurs nadciśnienie tętnicze [111-2024 Servier] - odcinek 4",OUTCOME_SALES,completed,adset,7751,16232,2.0941814,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",Video_Play,32,271.14,8.473125,2025-09-18,2025-09-30,2025-01-01,2026-03-17
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]","Bilanse od zera | Odcinek 3 | styczeń-marzec | Stories",OUTCOME_SALES,inactive,adset,9003,14366,1.59569033,"Kliknięcia z 7 dni",Video_Play,65,269.39,4.14446154,2025-01-20,2025-03-27,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 17-24.01.2025",OUTCOME_SALES,completed,adset,14538,30619,2.10613564,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",7108,264.23,0.03717361,2025-01-20,2025-01-28,2025-01-01,2026-03-17
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]","Tydzień 27-31.12.2024",OUTCOME_SALES,completed,adset,17149,64888,3.78377748,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","3LPV - konwersja",10554,253.95,0.02406197,2024-12-30,2025-01-07,2025-01-01,2026-03-17
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]","Bilanse od zera | Odcinek 1 | styczeń-marzec |",OUTCOME_SALES,inactive,adset,7207,17132,2.37713334,"Kliknięcia z 7 dni",Video_Play,173,250.51,1.44803468,2025-01-12,2025-03-31,2025-01-01,2026-03-17
"Konferencje własne [odtworzenie nagrania na Remedium]","PK w POZ 2024: gastroenterologia | Sandoz",OUTCOME_SALES,completed,adset,7721,18309,2.37132496,"Kliknięcia z 7 dni",Video_Play,457,250,0.54704595,2025-01-19,2025-02-28,2025-01-01,2026-03-17
"Treści własne [wyświetlenie strony docelowej]","IG - Ankieta | Badanie Medtata | lipiec 2025 |",LINK_CLICKS,completed,adset,4505,11668,2.5900111,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",12,250,20.83333333,2025-07-03,2025-07-15,2025-01-01,2026-03-17
"[KL] Nagrania webinarów klienckich  [odtworzenie nagrania na Remedium]","FB/IG - Diagnoza i terapia ANN | 31.05 - statyk",OUTCOME_SALES,completed,adset,9743,19413,1.99250744,"Kliknięcia z 7 dni",Video_Play,62,250,4.03225806,2025-05-13,2025-05-31,2025-01-01,2026-03-17
"Treści własne [wyświetlenie strony docelowej]","FB - Ankieta | Badanie Medmama | maj-czerwiec 2025 |",LINK_CLICKS,completed,adset,11161,30995,2.77708091,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",153,250,1.63398693,2025-06-02,2025-06-08,2025-01-01,2026-03-17
"Konferencje własne [odtworzenie nagrania na Remedium]","PK w POZ 2024: kardiologia | BauschHealth",OUTCOME_SALES,completed,adset,5746,19643,3.41855204,"Kliknięcia z 7 dni",Video_Play,266,250,0.93984962,2025-01-26,2025-02-28,2025-01-01,2026-03-17
"Treści własne [wyświetlenie strony docelowej]","FB - Ankieta | Badanie Medtata | lipiec 2025 |",LINK_CLICKS,completed,adset,7482,28244,3.77492649,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",66,250,3.78787879,2025-07-03,2025-07-15,2025-01-01,2026-03-17
"Konferencje własne [odtworzenie nagrania na Remedium]","PK w POZ 2024: kardiologia | Novonordisk",OUTCOME_SALES,completed,adset,5662,11890,2.09996468,"Kliknięcia z 7 dni",Video_Play,95,249.99,2.63147368,2025-01-20,2025-02-28,2025-01-01,2026-03-17
"Konferencje własne [odtworzenie nagrania na Remedium]","PK w POZ 2024: kardiologia | Servier",OUTCOME_SALES,completed,adset,6473,14990,2.31577321,"Kliknięcia z 7 dni",Video_Play,186,249.99,1.34403226,2025-01-20,2025-02-28,2025-01-01,2026-03-17
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]","FB | Trudne decyzje | 11.03 | 233-2024 Adamed",OUTCOME_SALES,completed,adset,9945,21624,2.17435897,"Kliknięcia z 7 dni",Video_Play,161,249.99,1.55273292,2025-03-12,2025-03-31,2025-01-01,2026-03-17
"Konferencje własne [odtworzenie nagrania na Remedium]","PK w POZ 2024: gastroenterologia | MagnaPharm",OUTCOME_SALES,completed,adset,7235,15020,2.07601935,"Kliknięcia z 7 dni",Video_Play,227,249.99,1.10127753,2025-01-19,2025-02-28,2025-01-01,2026-03-17
